YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,2,2,2.427272727,1.081805946,2,79600,1344,3,3,1,3,1
2014,1,4,1,11.56842105,0.927452179,2,50300,1120,3,1,3,1,9
2014,1,4,2,5.784210526,1.081805946,1,99900,1848,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,87300,1568,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,83500,2304,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,2,41500,1232,3,3,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,41400,1000,1,2,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,43200,1344,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,96000,1890,3,1,3,1,9
2014,1,3,1,34.77857143,0.927452179,2,41500,1216,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,53600,1216,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,106400,2128,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,3,9,9,9,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,2,70000,2112,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,95000,2304,3,2,3,1,9
2014,1,3,2,17.38928571,1.081805946,1,94900,1792,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,89200,1624,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,53600,1216,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,35000,1280,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,2,127000,1296,1,3,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1
2014,1,4,1,11.56842105,0.927452179,2,84200,896,1,2,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,185900,1566,1,1,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,85400,1512,3,3,1,1,9
2014,1,2,2,2.427272727,1.081805946,2,72000,1100,3,2,1,2,1
